Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2024-10-24,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-10-24,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-10-24,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-10-24,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,135.0,lbs,8,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-24,Close Grip Barbell Bench Press,Triceps,135.0,lbs,8,,,,""
2024-10-24,Close Grip Barbell Bench Press,Triceps,155.0,lbs,8,,,,""
2024-10-24,Close Grip Barbell Bench Press,Triceps,155.0,lbs,8,,,,""
2024-10-25,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-10-25,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-25,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-25,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-25,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-10-25,Dumbbell Row,Back,135.0,lbs,8,,,,""
2024-10-25,Dumbbell Row,Back,185.0,lbs,5,,,,""
2024-10-25,Dumbbell Row,Back,225.0,lbs,3,,,,""
2024-10-25,Barbell Shrug,Back,225.0,lbs,5,,,,""
2024-10-25,Barbell Shrug,Back,275.0,lbs,8,,,,""
2024-10-25,Romanian Deadlift,Legs,225.0,lbs,5,,,,""
2024-10-25,Dumbbell Row,Back,225.0,lbs,3,,,,""
2024-10-25,Dumbbell Row,Back,135.0,lbs,8,,,,""
2024-10-25,Upright Row,Back,65.0,lbs,12,,,,""
2024-10-25,Upright Row,Back,75.0,lbs,8,,,,""
2024-10-25,Upright Row,Back,75.0,lbs,10,,,,""
2024-10-25,Barbell Curl,Biceps,75.0,lbs,8,,,,""
2024-10-25,Barbell Curl,Biceps,65.0,lbs,8,,,,""
2024-10-25,Barbell Curl,Biceps,65.0,lbs,8,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-27,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-10-27,Close Grip Barbell Bench Press,Triceps,185.0,lbs,3,,,,""
2024-10-27,Close Grip Barbell Bench Press,Triceps,155.0,lbs,8,,,,""
2024-10-27,Close Grip Barbell Bench Press,Triceps,155.0,lbs,8,,,,""
2024-10-27,Close Grip Barbell Bench Press,Triceps,135.0,lbs,10,,,,""
2024-10-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,4,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-28,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-10-28,Lat Pulldown,Back,100.0,lbs,15,,,,""
2024-10-28,Lat Pulldown,Back,120.0,lbs,8,,,,""
2024-10-28,Lat Pulldown,Back,140.0,lbs,8,,,,""
2024-10-28,Lat Pulldown,Back,160.0,lbs,8,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-10-29,Close Grip Barbell Bench Press,Triceps,185.0,lbs,5,,,,""
2024-10-29,Close Grip Barbell Bench Press,Triceps,135.0,lbs,8,,,,""
2024-10-29,Cable Crossover,Chest,30.0,lbs,12,,,,""
2024-10-29,Cable Crossover,Chest,35.0,lbs,8,,,,""
2024-10-29,Cable Crossover,Chest,35.0,lbs,8,,,,""
2024-10-29,Rope Push Down,Triceps,35.0,lbs,15,,,,""
2024-10-29,Rope Push Down,Triceps,42.5,lbs,12,,,,""
2024-10-29,Cable Overhead Triceps Extension,Triceps,30.0,lbs,15,,,,""
2024-10-29,Cable Overhead Triceps Extension,Triceps,30.0,lbs,12,,,,""
2024-10-29,Cable Overhead Triceps Extension,Triceps,30.0,lbs,12,,,,""
2024-10-29,Dumbbell Curl,Biceps,35.0,lbs,12,,,,""
2024-10-29,Dumbbell Hammer Curl,Biceps,40.0,lbs,8,,,,""
2024-10-29,EZ-Bar Curl,Biceps,70.0,lbs,8,,,,""
2024-10-29,Barbell Squat,Legs,135.0,lbs,8,,,,""
2024-10-29,Barbell Squat,Legs,135.0,lbs,3,,,,""
2024-10-29,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-10-29,Barbell Squat,Legs,135.0,lbs,6,,,,""
2024-10-31,Standing Calf Raise Machine,Legs,90.0,lbs,20,,,,""
2024-10-31,Standing Calf Raise Machine,Legs,140.0,lbs,15,,,,""
2024-10-31,Standing Calf Raise Machine,Legs,140.0,lbs,15,,,,""
2024-10-31,Seated Cable Row,Back,120.0,lbs,15,,,,""
2024-10-31,Seated Cable Row,Back,140.0,lbs,10,,,,""
2024-10-31,Seated Cable Row,Back,140.0,lbs,12,,,,""
2024-10-31,Lat Pulldown,Back,120.0,lbs,8,,,,""
2024-10-31,Lat Pulldown,Back,140.0,lbs,8,,,,""
2024-10-31,Lat Pulldown,Back,160.0,lbs,8,,,,""
2024-10-31,Deadlift,Back,135.0,lbs,3,,,,""
2024-10-31,Deadlift,Back,225.0,lbs,3,,,,""
2024-10-31,Deadlift,Back,295.0,lbs,1,,,,""
2024-10-31,Deadlift,Back,295.0,lbs,2,,,,""
2024-10-31,Deadlift,Back,255.0,lbs,5,,,,""
2024-10-31,Deadlift,Back,255.0,lbs,5,,,,""
2024-10-31,Deadlift,Back,225.0,lbs,5,,,,""
2024-11-02,Barbell Squat,Legs,135.0,lbs,3,,,,""
2024-11-02,Barbell Squat,Legs,185.0,lbs,3,,,,""
2024-11-02,Barbell Squat,Legs,225.0,lbs,5,,,,""
2024-11-02,Barbell Squat,Legs,225.0,lbs,4,,,,""
2024-11-02,Barbell Squat,Legs,225.0,lbs,3,,,,""
2024-11-02,Barbell Squat,Legs,225.0,lbs,3,,,,""
2024-11-02,Barbell Squat,Legs,225.0,lbs,3,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-02,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-11-03,Barbell Squat,Legs,95.0,lbs,5,,,,""
2024-11-03,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Barbell Squat,Legs,175.0,lbs,6,,,,""
2024-11-03,Overhead Press,Shoulders,90.0,lbs,8,,,,""
2024-11-03,Overhead Press,Shoulders,110.0,lbs,8,,,,""
2024-11-03,Overhead Press,Shoulders,110.0,lbs,8,,,,""
2024-11-03,Overhead Press,Shoulders,110.0,lbs,4,,,,""
2024-11-03,Overhead Press,Shoulders,90.0,lbs,4,,,,""
2024-11-03,Rope Push Down,Triceps,35.0,lbs,15,,,,""
2024-11-03,Cable Overhead Triceps Extension,Triceps,35.0,lbs,12,,,,""
2024-11-03,Lateral Machine Raise,Shoulders,10.0,lbs,12,,,,""
2024-11-03,Rope Push Down,Triceps,35.0,lbs,15,,,,""
2024-11-03,Cable Overhead Triceps Extension,Triceps,35.0,lbs,10,,,,""
2024-11-03,Lateral Machine Raise,Shoulders,10.0,lbs,10,,,,""
2024-11-04,Deadlift,Back,135.0,lbs,8,,,,""
2024-11-04,Deadlift,Back,225.0,lbs,5,,,,""
2024-11-04,Deadlift,Back,275.0,lbs,5,,,,""
2024-11-04,Deadlift,Back,325.0,lbs,2,,,,""
2024-11-04,Deadlift,Back,325.0,lbs,2,,,,""
2024-11-04,Deadlift,Back,275.0,lbs,3,,,,""
2024-11-04,Deadlift,Back,225.0,lbs,5,,,,""
2024-11-04,Machine Shrug,Back,135.0,lbs,12,,,,""
2024-11-04,Machine Shrug,Back,185.0,lbs,10,,,,""
2024-11-04,Machine Shrug,Back,255.0,lbs,8,,,,""
2024-11-04,Lat Pulldown,Back,120.0,lbs,8,,,,""
2024-11-04,Lat Pulldown,Back,140.0,lbs,10,,,,""
2024-11-04,Lat Pulldown,Back,160.0,lbs,8,,,,""
2024-11-04,Seated Cable Row,Back,120.0,lbs,12,,,,""
2024-11-04,Seated Cable Row,Back,140.0,lbs,10,,,,""
2024-11-04,Seated Cable Row,Back,160.0,lbs,8,,,,""
2024-11-04,Dumbbell Curl,Biceps,35.0,lbs,8,,,,""
2024-11-04,Dumbbell Curl,Biceps,35.0,lbs,8,,,,""
2024-11-04,Dumbbell Hammer Curl,Biceps,40.0,lbs,8,,,,""
2024-11-04,EZ-Bar Curl,Biceps,80.0,lbs,6,,,,""
2024-11-04,EZ-Bar Curl,Biceps,60.0,lbs,10,,,,""
2024-11-06,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-11-06,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-11-06,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-11-06,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-06,Flat Barbell Bench Press,Chest,185.0,lbs,6,,,,""
2024-11-10,Barbell Squat,Legs,95.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Barbell Squat,Legs,185.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,5,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,4,,,,""
2024-11-10,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-11-10,Rope Push Down,Triceps,30.0,lbs,20,,,,""
2024-11-10,Cable Overhead Triceps Extension,Triceps,30.0,lbs,15,,,,""
2024-11-10,Rope Push Down,Triceps,35.0,lbs,12,,,,""
2024-11-10,Cable Overhead Triceps Extension,Triceps,35.0,lbs,10,,,,""
2024-11-10,Rope Push Down,Triceps,35.0,lbs,12,,,,""
2024-11-10,Cable Overhead Triceps Extension,Triceps,35.0,lbs,20,,,,""
2024-11-11,Standing Calf Raise Machine,Legs,90.0,lbs,20,,,,""
2024-11-11,Standing Calf Raise Machine,Legs,140.0,lbs,15,,,,""
2024-11-11,Standing Calf Raise Machine,Legs,140.0,lbs,15,,,,""
2024-11-11,Lat Pulldown,Back,120.0,lbs,10,,,,""
2024-11-11,Lat Pulldown,Back,120.0,lbs,10,,,,""
2024-11-11,Lat Pulldown,Back,140.0,lbs,8,,,,""
2024-11-11,Lat Pulldown,Back,160.0,lbs,8,,,,""
2024-11-11,Lat Pulldown,Back,180.0,lbs,6,,,,""
2024-11-11,Lat Pulldown,Back,200.0,lbs,4,,,,""
2024-11-11,Barbell Row,Back,95.0,lbs,12,,,,""
2024-11-11,Barbell Row,Back,135.0,lbs,8,,,,""
2024-11-11,Barbell Row,Back,185.0,lbs,5,,,,""
2024-11-11,Barbell Row,Back,135.0,lbs,8,,,,""
2024-11-11,Dumbbell Curl,Biceps,35.0,lbs,10,,,,""
2024-11-11,Dumbbell Curl,Biceps,40.0,lbs,8,,,,""
2024-11-11,Dumbbell Curl,Biceps,30.0,lbs,10,,,,""
2024-11-11,Dumbbell Hammer Curl,Biceps,40.0,lbs,8,,,,""
2024-11-11,Dumbbell Hammer Curl,Biceps,30.0,lbs,10,,,,""
2024-11-11,EZ-Bar Curl,Biceps,50.0,lbs,12,,,,""
2024-11-13,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,135.0,lbs,8,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,225.0,lbs,2,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-11-24,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-11-24,Incline Hammer Strength Chest Press,Chest,90.0,lbs,10,,,,""
2024-11-24,Incline Hammer Strength Chest Press,Chest,180.0,lbs,8,,,,""
2024-11-24,Incline Hammer Strength Chest Press,Chest,180.0,lbs,5,,,,""
2024-11-24,Incline Hammer Strength Chest Press,Chest,180.0,lbs,5,,,,""
2024-11-24,Cable Overhead Triceps Extension,Triceps,30.0,lbs,10,,,,""
2024-11-24,Rope Push Down,Triceps,30.0,lbs,15,,,,""
2024-11-24,Rope Push Down,Triceps,35.0,lbs,10,,,,""
2024-11-24,Cable Overhead Triceps Extension,Triceps,35.0,lbs,10,,,,""
2024-11-24,Rope Push Down,Triceps,35.0,lbs,8,,,,""
2024-11-24,Cable Overhead Triceps Extension,Triceps,35.0,lbs,8,,,,""
2024-11-24,Seated Machine Fly,Chest,100.0,lbs,12,,,,""
2024-11-24,Seated Machine Fly,Chest,130.0,lbs,10,,,,""
2024-11-28,Barbell Squat,Legs,95.0,lbs,5,,,,""
2024-11-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-28,Barbell Squat,Legs,135.0,lbs,5,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,135.0,lbs,5,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-11-28,Flat Barbell Bench Press,Chest,225.0,lbs,3,,,,""
2024-11-28,Rope Push Down,Triceps,35.0,lbs,25,,,,""
2024-11-28,Cable Overhead Triceps Extension,Triceps,35.0,lbs,12,,,,""
2024-11-28,Rope Push Down,Triceps,35.0,lbs,12,,,,""
